name,contact_person,phone,whatsapp,address,zip_code,state,city,country,b2bmap_url
PimaAfrica Distribution Sarl AU,Mr. PimaAfrica  (Automation Engineer),+212669xxxxx,+212669xxxxx,"293, Boulevard abdelmoumen, 5eme etage Appt 1, Casablanca",20340,Casablanca,ad-Dar-al-Bayda,Morocco,https://b2bmap.com/pimaafrica-distribution
Forum Diffusion,Mr. Saïd RHARMILI  (GERANT),+212661xxxxx,+212661xxxxx,"Corner of Avenue Al Atlas and Rue Frioto, Ennakhil Residence, Building 12, Shop No. 1, Agdal District – 10080 – Rabat – MOROCCO",10080,Rabat-Sale-Zammour-Zaer,ar-Ribat,Morocco,https://b2bmap.com/forum-diffusion
Organica Group LTD,Mr. Moroccan cosmetics products  (Moroccan beauty products),+212064xxxxx,+212064xxxxx,"Lot 377 N° 3/6, Sidi Ghanem Industrial Zone, 40110 Marrakech, Morocco",40011,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/organica-group-ltd
Agaforia,Mr. Agence Agaforia  (Agence),+212066xxxxx,+212066xxxxx,Mhamid. Marrakech 40160,40000,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/agaforia
Moroccan Natural Stone,Ms. Jihane BENHOMMESS  (Founder),+212669xxxxx,+212669xxxxx,"Tangier, Morocco, 218 bni ouassine",90000,Tangier-Tetouan,Tangier,Morocco,https://b2bmap.com/moroccan-natural-stone
Tresors El Mamoun,Mr. Annajar Mohamed  (Head of Marketing),+212067xxxxx,+212067xxxxx,Angle Rue Rif et Rue Irhae Imm Jiwar 2 apt N°7 Ain Mezouar 40 000 Marrakech,40000,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/tresors-el-mamoun
Gold Cheese Morocco,Mr. Mohamed  (External Communicator),+212779xxxxx,+212779xxxxx,"Zone Industrielle Dar Bouazza, Lot N14",20220,Casablanca,ad-Dar-al-Bayda,Morocco,https://b2bmap.com/gold-cheese-morocco
Mobilier Bureau Pro (MBP),Mr. Hassane sadiki  (MOBILIER BUREAU PRO),+212772xxxxx,+212772xxxxx,Mohammedia,28830,Casablanca,ad-Dar-al-Bayda,Morocco,https://b2bmap.com/mobilier-bureau-pro-mbp
PROMASTEEL,Mr. MOHAMED BENKHAYAT  (Manager),+212065xxxxx,+212065xxxxx,FES MAROC,30050,Fes-Boulemane,Fas,Morocco,https://b2bmap.com/promasteel
Paraceutica,*,+212648xxxxx,+212648xxxxx,Morocco,43180,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/paraceutica
Bagha Shoes,Mr. Mohamad fouffah  (CEO),+212068xxxxx,+212068xxxxx,N⁰22 kasbat souss 5km bensergao,80000,Agadir,Agadir,Morocco,https://b2bmap.com/bagha-shoes
TECHNORDE,Mr. Noureddine ICHTENNA  (CEO),+212661xxxxx,+212661xxxxx,"Groupe ""F"", N°49, Rue 177, Rue Oued Nafis, Casablanca 20200",20200,Casablanca,ad-Dar-al-Bayda,Morocco,https://b2bmap.com/technorde
Labboho Morocco,Mr. Younes ARABAB  (Manager),+212066xxxxx,+212066xxxxx,Local 12 Immeuble Attadamoune,80000,Agadir,Agadir,Morocco,https://b2bmap.com/labboho-morocco
Cosmeticlab Laboratoire,Mr. Abdelghafour  (Responsable Marketing Digital),+212525xxxxx,+212066xxxxx,"292 quartier industriel Marrakech, 40000",40000,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/cosmeticlab-laboratoire
Timadel Home,Mr. Tshui hoo  (Director),+212600xxxxx,+212600xxxxx,22 rue 105 group T oulfa,65466,Oujda,Oujda,Morocco,https://b2bmap.com/timadel-home
